Collection^Meter^Lines
Epodes^iambic strophe^34
Epodes^iambic strophe^70
Epodes^iambic strophe^22
Epodes^iambic strophe^20
Epodes^iambic strophe^102
Epodes^iambic strophe^16
Epodes^iambic strophe^20
Epodes^iambic strophe^20
Epodes^iambic strophe^38
Epodes^iambic strophe^24
Epodes^third archilochean^28
Epodes^alcmanic strophe^26
Epodes^second archilochean^18
Epodes^first pythiambic^16
Epodes^first pythiambic^24
Epodes^second pythiambic^66
Epodes^iambic trimeter^81
Odes I^first asclepiadean^36
Odes I^sapphic strophe^52
Odes I^second asclepiadean^40
Odes I^fourth archilochean^20
Odes I^fourth asclepiadean^16
Odes I^third asclepiadean^20
Odes I^alcmanic strophe^32
Odes I^second sapphic strophe^16
Odes I^alcaic strophe^24
Odes I^sapphic strophe^20
Odes I^fifth asclepiadean^8
Odes I^sapphic strophe^60
Odes I^second asclepiadean^20
Odes I^fourth asclepiadean^20
Odes I^third asclepiadean^36
Odes I^alcaic strophe^28
Odes I^alcaic strophe^28
Odes I^fifth asclepiadean^16
Odes I^second asclepiadean^16
Odes I^sapphic strophe^12
Odes I^fourth asclepiadean^16
Odes I^sapphic strophe^24
Odes I^fourth asclepiadean^12
Odes I^third asclepiadean^20
Odes I^sapphic strophe^20
Odes I^alcaic strophe^12
Odes I^alcaic strophe^24
Odes I^alcmanic strophe^36
Odes I^alcaic strophe^16
Odes I^sapphic strophe^8
Odes I^alcaic strophe^20
Odes I^sapphic strophe^16
Odes I^third asclepiadean^16
Odes I^alcaic strophe^16
Odes I^alcaic strophe^40
Odes I^second asclepiadean^20
Odes I^alcaic strophe^32
Odes I^sapphic strophe^8
Odes II^alcaic strophe^40
Odes II^sapphic strophe^24
Odes II^alcaic strophe^28
Odes II^sapphic strophe^24
Odes II^alcaic strophe^24
Odes II^sapphic strophe^24
Odes II^alcaic strophe^28
Odes II^sapphic strophe^24
Odes II^alcaic strophe^24
Odes II^sapphic strophe^24
Odes II^alcaic strophe^24
Odes II^third asclepiadean^28
Odes II^alcaic strophe^40
Odes II^alcaic strophe^28
Odes II^alcaic strophe^20
Odes II^sapphic strophe^40
Odes II^alcaic strophe^32
Odes II^trochaic strophe^40
Odes II^alcaic strophe^32
Odes II^alcaic strophe^24
Odes III^alcaic strophe^48
Odes III^alcaic strophe^32
Odes III^alcaic strophe^72
Odes III^alcaic strophe^80
Odes III^alcaic strophe^56
Odes III^alcaic strophe^48
Odes III^fourth asclepiadean^32
Odes III^sapphic strophe^28
Odes III^second asclepiadean^24
Odes III^third asclepiadean^20
Odes III^sapphic strophe^52
Odes III^ionic a minore^12
Odes III^fourth asclepiadean^16
Odes III^sapphic strophe^28
Odes III^second asclepiadean^16
Odes III^third asclepiadean^44
Odes III^alcaic strophe^16
Odes III^sapphic strophe^16
Odes III^second asclepiadean^28
Odes III^sapphic strophe^16
Odes III^alcaic strophe^24
Odes III^sapphic strophe^8
Odes III^alcaic strophe^20
Odes III^second asclepiadean^64
Odes III^second asclepiadean^20
Odes III^alcaic strophe^12
Odes III^sapphic strophe^76
Odes III^second asclepiadean^16
Odes III^alcaic strophe^64
Odes III^first asclepiadean^16
Carmen^sapphic strophe^76
Odes IV^second asclepiadean^40
Odes IV^sapphic strophe^60
Odes IV^second asclepiadean^24
Odes IV^alcaic strophe^76
Odes IV^third asclepiadean^40
Odes IV^sapphic strophe^44
Odes IV^first archilochean^28
Odes IV^first asclepiadean^34
Odes IV^alcaic strophe^52
Odes IV^fifth asclepiadean^8
Odes IV^sapphic strophe^36
Odes IV^third asclepiadean^28
Odes IV^fourth asclepiadean^28
Odes IV^alcaic strophe^52
Odes IV^alcaic strophe^32
